Name,Unit,Query,Min/max,Min/max clusters (10x),Min/max clusters (100x),Min/max clusters (1000x)
Time,s,193,0.16987,0.17392,0.14824,0.12619
Time,s,194,0.14663,0.18034,0.15621,0.12533
Time,s,195,0.13245,0.16463,0.13707,0.13304
Time,s,196,0.14135,0.16069,0.13726,0.13152
Time,s,197,0.13375,0.17049,0.13753,0.13447
Time,s,198,0.14159,0.18317,0.14262,0.12431
Time,s,199,0.14424,0.18228,0.14346,0.1366
Time,s,200,0.14129,0.15777,0.14816,0.12856
Time,s,201,0.13697,0.16403,0.13069,0.12792
Time,s,202,0.13286,0.15812,0.13461,0.12448
Time,s,203,0.1388,0.1712,0.13941,0.13252
Time,s,204,0.15179,0.18832,0.14421,0.12604
Time,s,205,0.1577,0.1651,0.13613,0.13592
Time,s,206,0.14981,0.16479,0.14267,0.13397
Time,s,207,0.1759,0.18337,0.14709,0.13059
Time,s,208,0.13869,0.15817,0.16154,0.13595
Time,s,209,0.14227,0.15293,0.14861,0.12586
Time,s,210,0.14121,0.15249,0.15183,0.13014
Time,s,211,0.13541,0.14892,0.13524,0.12464
Time,s,212,0.13645,0.14326,0.15703,0.12441
Time,s,213,0.1422,0.14193,0.15134,0.12563
Time,s,214,0.13799,0.13864,0.15518,0.12593
Time,s,215,0.13958,0.14579,0.15718,0.12976
Time,s,216,0.1292,0.14735,0.15292,0.14036
Time,s,217,0.13332,0.13507,0.13693,0.13373
Time,s,218,0.13925,0.14441,0.1375,0.12476
Time,s,219,0.13084,0.14754,0.12904,0.13051
Time,s,220,0.1551,0.14318,0.13999,0.1257
Time,s,221,0.15083,0.13104,0.12669,0.1277
Time,s,222,0.16324,0.15733,0.14296,0.13166
Time,s,223,0.14803,0.15175,0.15255,0.12931
Time,s,224,0.15812,0.15867,0.14223,0.1297
Time,s,225,0.13228,0.14527,0.13706,0.12563
Time,s,226,0.13983,0.15044,0.13752,0.12765
Time,s,227,0.13001,0.1507,0.13724,0.13227
Time,s,228,0.13192,0.14662,0.14573,0.12463
Time,s,229,0.13863,0.14868,0.14033,0.13887
Time,s,230,0.14747,0.16347,0.14826,0.12417
Time,s,231,0.12599,0.13778,0.1339,0.12693
Time,s,232,0.15039,0.18305,0.14427,0.13841
Time,s,233,0.14614,0.1795,0.14039,0.12473
Time,s,234,0.15866,0.1836,0.14232,0.12972
Time,s,235,0.17862,0.1838,0.14733,0.12551
Time,s,236,0.14935,0.17794,0.14229,0.12231
Time,s,237,0.13378,0.13579,0.13028,0.13095
Time,s,238,0.13241,0.14338,0.13212,0.12943
Time,s,239,0.1283,0.1453,0.1358,0.12853
Time,s,240,0.13526,0.15589,0.15521,0.14186
Time,s,241,0.13966,0.14669,0.13503,0.1264
Time,s,242,0.13665,0.15478,0.13672,0.13989
Time,s,243,0.12825,0.14203,0.13452,0.12415
Time,s,244,0.13427,0.14351,0.13422,0.12815
Time,s,245,0.14566,0.15912,0.15218,0.13079
Time,s,246,0.13849,0.15343,0.13925,0.12643
Time,s,247,0.14819,0.1472,0.14192,0.12828
Time,s,248,0.13474,0.16034,0.14208,0.1359
Time,s,249,0.1276,0.13294,0.1345,0.12695
Time,s,250,0.13501,0.14113,0.13298,0.12653
Time,s,251,0.13484,0.14957,0.13804,0.12972
Time,s,252,0.12858,0.13471,0.13526,0.12699
Time,s,253,0.15564,0.16009,0.15391,0.1289
Time,s,254,0.1405,0.15743,0.13913,0.14362
Time,s,255,0.13321,0.15706,0.1357,0.12806
